review_id,application_id,caseworker_id,reviewed_at,initial_band,final_decision,overridden,notes
60,2445,4,2025-03-25,human_review,approved,False,
61,2488,5,2025-03-30,human_review,deferred,False,
62,2561,5,2025-03-12,human_review,deferred,False,
63,2962,4,2025-04-30,human_review,deferred,False,
64,3246,6,2025-04-27,human_review,approved,True,
65,3044,7,2025-04-05,human_review,approved,False,
66,3340,9,2025-04-21,human_review,approved,False,
67,3335,3,2025-04-11,human_review,deferred,False,
68,3164,9,2025-04-22,human_review,approved,False,
69,3136,5,2025-05-02,human_review,approved,False,
70,3324,9,2025-04-13,human_review,approved,False,
71,2987,3,2025-04-11,human_review,deferred,False,
72,2920,9,2025-05-03,human_review,deferred,False,
73,3159,9,2025-04-16,human_review,deferred,False,
74,3178,6,2025-04-28,human_review,deferred,False,
75,2909,5,2025-04-08,human_review,deferred,False,
76,3638,7,2025-05-29,human_review,approved,True,
77,3414,10,2025-05-19,human_review,approved,False,
78,3660,8,2025-05-27,human_review,deferred,False,
79,3645,9,2025-05-23,human_review,deferred,False,
80,3425,9,2025-05-24,human_review,approved,False,
81,3406,10,2025-05-17,human_review,approved,False,
82,3534,10,2025-05-18,human_review,approved,False,
83,3731,7,2025-05-12,human_review,approved,False,
84,3555,3,2025-06-01,human_review,deferred,False,
85,3478,3,2025-06-03,human_review,approved,False,
86,3542,4,2025-06-01,human_review,deferred,False,
87,3833,6,2025-05-06,human_review,approved,False,
88,3724,2,2025-05-15,human_review,deferred,False,
89,3647,8,2025-05-05,human_review,approved,True,
90,3713,10,2025-05-28,human_review,deferred,False,
91,3533,9,2025-05-16,human_review,approved,False,
92,3981,7,2025-06-30,human_review,approved,False,
93,4103,2,2025-06-26,human_review,deferred,False,
94,4118,10,2025-06-14,human_review,approved,True,
95,4240,6,2025-06-17,human_review,approved,False,
96,4353,2,2025-06-24,human_review,deferred,False,
97,3999,3,2025-06-18,human_review,deferred,True,
98,4195,8,2025-06-11,human_review,approved,False,
99,4269,1,2025-06-09,human_review,deferred,False,
100,4164,1,2025-06-26,human_review,deferred,False,
101,3887,6,2025-06-06,human_review,deferred,False,
102,3963,5,2025-06-07,human_review,approved,False,
103,4771,1,2025-07-09,human_review,deferred,False,
104,4423,1,2025-07-26,human_review,deferred,False,
105,4451,5,2025-07-06,human_review,approved,False,
106,4750,9,2025-07-22,human_review,deferred,False,
107,4501,10,2025-07-29,human_review,deferred,False,
108,4543,7,2025-07-17,human_review,deferred,False,
109,4770,6,2025-07-31,human_review,deferred,False,
110,4752,2,2025-07-09,human_review,deferred,False,
111,4642,7,2025-07-18,human_review,deferred,False,
112,4740,3,2025-07-30,human_review,approved,False,
113,4834,3,2025-08-07,human_review,approved,False,
114,4534,2,2025-07-21,human_review,deferred,True,
115,4375,8,2025-08-05,human_review,approved,False,
116,5230,6,2025-08-11,human_review,deferred,True,
117,5032,9,2025-08-08,human_review,deferred,False,
118,4939,1,2025-08-31,human_review,deferred,False,
119,5050,4,2025-08-07,human_review,approved,False,
120,4906,2,2025-08-30,human_review,approved,False,
121,4942,6,2025-08-12,human_review,deferred,False,
122,4910,3,2025-08-28,human_review,approved,False,
123,5106,4,2025-08-08,human_review,approved,False,
124,5006,7,2025-08-29,human_review,approved,False,
125,4953,4,2025-08-14,human_review,approved,False,
126,5251,2,2025-08-11,human_review,approved,False,
127,5265,1,2025-08-07,human_review,approved,True,
128,5443,1,2025-10-04,human_review,approved,False,
129,5568,6,2025-09-26,human_review,approved,False,
130,5769,10,2025-09-22,human_review,approved,False,
131,5434,4,2025-10-07,human_review,approved,False,
132,5467,7,2025-09-05,human_review,deferred,False,
133,5712,3,2025-09-18,human_review,approved,False,
134,5871,3,2025-09-15,human_review,approved,False,
135,5666,7,2025-09-08,human_review,deferred,False,
136,5763,9,2025-09-12,human_review,approved,False,
137,5462,8,2025-09-27,human_review,deferred,False,
138,6027,5,2025-10-19,human_review,approved,False,
139,6195,7,2025-10-11,human_review,deferred,False,
140,6104,10,2025-10-26,human_review,approved,False,
141,6300,6,2025-10-12,human_review,deferred,False,
142,6007,4,2025-10-27,human_review,deferred,False,
143,5882,5,2025-10-29,human_review,approved,True,
144,5933,8,2025-11-06,human_review,approved,False,
145,6296,6,2025-10-11,human_review,approved,False,
146,5929,4,2025-10-26,human_review,deferred,False,
147,5973,5,2025-10-10,human_review,deferred,False,
148,5886,2,2025-10-02,human_review,deferred,False,
149,6208,10,2025-10-20,human_review,deferred,False,
150,6364,8,2025-11-24,human_review,deferred,True,
151,6407,9,2025-11-17,human_review,deferred,False,
152,6728,9,2025-11-04,human_review,approved,False,
153,6564,5,2025-11-26,human_review,approved,False,
154,6779,7,2025-11-29,human_review,approved,True,
155,6527,7,2025-11-11,human_review,approved,False,
156,6707,6,2025-11-10,human_review,deferred,False,
157,6804,8,2025-11-13,human_review,approved,False,
158,6467,2,2025-11-22,human_review,approved,False,
159,6714,3,2025-11-16,human_review,deferred,False,
160,6490,4,2025-11-21,human_review,approved,False,
161,6520,1,2025-12-03,human_review,deferred,True,
162,6636,5,2025-11-16,human_review,deferred,False,
163,6438,9,2025-11-11,human_review,approved,False,
164,7072,6,2025-12-16,human_review,deferred,False,
165,6869,5,2025-12-22,human_review,deferred,False,
166,7265,7,2025-12-08,human_review,approved,True,
167,6907,10,2025-12-17,human_review,approved,False,
168,7289,7,2025-12-31,human_review,approved,False,
169,7080,7,2025-12-24,human_review,deferred,False,
170,7330,7,2025-12-11,human_review,approved,False,
171,7028,8,2025-12-24,human_review,deferred,False,
172,7313,6,2026-01-03,human_review,deferred,False,
173,7238,8,2025-12-23,human_review,deferred,False,
174,6893,10,2025-12-26,human_review,approved,False,
175,6870,2,2025-12-10,human_review,deferred,False,
176,7170,3,2025-12-15,human_review,deferred,False,
177,6977,7,2025-12-07,human_review,approved,False,
178,7186,6,2025-12-29,human_review,approved,True,
179,7315,9,2025-12-31,human_review,approved,False,
180,7214,8,2025-12-20,human_review,deferred,False,
181,7239,4,2026-01-07,human_review,approved,False,
182,7548,8,2026-01-13,human_review,deferred,False,
183,7676,6,2026-01-27,human_review,deferred,False,
184,7371,10,2026-01-28,human_review,approved,False,
185,7800,6,2026-01-07,human_review,approved,False,
186,7448,4,2026-01-31,human_review,deferred,False,
187,7768,5,2026-02-03,human_review,approved,False,
188,7466,5,2026-01-21,human_review,deferred,False,
189,7797,9,2026-01-23,human_review,approved,False,
190,7730,9,2026-01-24,human_review,deferred,False,
191,7807,2,2026-01-29,human_review,deferred,False,
192,7715,3,2026-01-20,human_review,approved,False,
193,7577,6,2026-01-23,human_review,deferred,False,
194,7770,8,2026-02-05,human_review,approved,False,
195,8260,8,2026-02-09,human_review,approved,False,
196,7912,10,2026-02-26,human_review,approved,False,
197,7983,1,2026-02-11,human_review,approved,False,
198,8243,1,2026-02-23,human_review,deferred,False,
199,7896,4,2026-02-22,human_review,deferred,False,
200,8171,2,2026-02-27,human_review,approved,False,
201,8170,9,2026-02-16,human_review,approved,False,
202,8257,1,2026-02-19,human_review,approved,False,
203,7954,3,2026-02-12,human_review,approved,False,
204,8250,9,2026-02-21,human_review,deferred,False,
205,8015,9,2026-02-15,human_review,approved,False,
206,8207,8,2026-02-08,human_review,approved,False,
207,8134,10,2026-02-17,human_review,deferred,False,
208,8497,8,2026-03-11,human_review,deferred,False,
209,8819,9,2026-03-23,human_review,approved,False,
210,8579,8,2026-03-23,human_review,approved,False,
211,8492,3,2026-03-06,human_review,approved,False,
212,8780,7,2026-04-02,human_review,approved,False,
213,8349,8,2026-03-10,human_review,approved,False,
214,8803,10,2026-04-06,human_review,deferred,False,
215,8616,1,2026-04-05,human_review,deferred,False,
216,8359,10,2026-04-04,human_review,approved,False,
217,8606,8,2026-03-29,human_review,approved,True,
218,8351,1,2026-03-27,human_review,deferred,False,
219,8571,3,2026-03-29,human_review,deferred,False,
220,8528,6,2026-03-29,human_review,deferred,False,
221,8732,7,2026-03-18,human_review,approved,False,
222,8941,6,2026-04-28,human_review,deferred,False,
223,9143,9,2026-04-06,human_review,deferred,False,
224,9073,5,2026-04-08,human_review,deferred,False,
225,9206,3,2026-04-27,human_review,approved,False,
226,9241,9,2026-04-27,human_review,deferred,False,
227,9205,8,2026-04-17,human_review,deferred,False,
228,9148,9,2026-04-28,human_review,approved,False,
229,9029,7,2026-04-29,human_review,deferred,False,
230,8886,7,2026-04-20,human_review,deferred,False,
231,8823,1,2026-04-17,human_review,deferred,False,
232,9218,1,2026-04-25,human_review,approved,False,
233,8885,10,2026-04-21,human_review,deferred,False,
234,9134,9,2026-04-30,human_review,approved,False,
235,8901,5,2026-04-23,human_review,deferred,True,
236,9129,4,2026-04-09,human_review,approved,False,
237,9339,7,2026-05-22,human_review,deferred,False,
238,9372,5,2026-05-08,human_review,deferred,False,
239,9757,8,2026-05-17,human_review,deferred,False,
240,9375,1,2026-05-08,human_review,deferred,True,
241,9404,6,2026-05-07,human_review,approved,False,
242,9323,4,2026-05-21,human_review,approved,False,
243,9710,6,2026-05-29,human_review,deferred,False,
244,9447,10,2026-06-06,human_review,approved,False,
245,9528,2,2026-05-29,human_review,deferred,False,
246,9565,6,2026-06-05,human_review,deferred,False,
247,9291,1,2026-05-08,human_review,approved,True,
248,9357,4,2026-05-10,human_review,deferred,False,
249,9389,6,2026-05-13,human_review,deferred,False,
250,9662,6,2026-05-28,human_review,approved,False,
251,9758,1,2026-05-23,human_review,approved,False,
252,10075,1,2026-06-24,human_review,approved,True,
253,9851,9,2026-06-12,human_review,deferred,True,
254,9853,7,2026-06-21,human_review,approved,True,
255,10143,3,2026-06-07,human_review,deferred,False,
256,10055,3,2026-06-05,human_review,approved,False,
257,10000,10,2026-06-18,human_review,approved,False,
258,10078,7,2026-06-12,human_review,approved,False,
259,10045,10,2026-06-05,human_review,approved,False,
260,9889,9,2026-06-27,human_review,deferred,False,
261,9786,3,2026-06-09,human_review,approved,False,
262,9987,3,2026-06-18,human_review,deferred,False,
263,10252,9,2026-06-15,human_review,approved,False,
264,9944,6,2026-06-10,human_review,deferred,False,
265,10664,8,2026-08-07,human_review,deferred,False,
266,10576,9,2026-08-01,human_review,approved,True,
267,10259,8,2026-08-04,human_review,deferred,False,
268,10341,9,2026-07-15,human_review,deferred,False,
269,10482,7,2026-07-25,human_review,approved,False,
270,10623,3,2026-07-20,human_review,approved,False,
271,10652,7,2026-07-27,human_review,deferred,False,
272,10513,6,2026-08-06,human_review,deferred,False,
273,10572,3,2026-07-25,human_review,approved,False,
274,10533,2,2026-07-21,human_review,deferred,False,
275,10385,8,2026-07-20,human_review,approved,False,
276,10694,4,2026-07-23,human_review,deferred,False,
277,10403,3,2026-07-11,human_review,deferred,True,
278,10679,2,2026-07-08,human_review,deferred,False,
279,10709,4,2026-07-07,human_review,deferred,False,
280,10594,9,2026-07-24,human_review,approved,False,
281,10943,5,2026-08-21,human_review,approved,False,
282,11054,7,2026-09-03,human_review,approved,False,
283,10764,1,2026-08-28,human_review,approved,False,
284,10788,9,2026-08-10,human_review,approved,False,
285,10907,4,2026-08-27,human_review,approved,False,
286,11120,10,2026-09-06,human_review,approved,False,
287,10854,9,2026-09-03,human_review,approved,False,
288,10941,3,2026-08-09,human_review,deferred,False,
289,11037,1,2026-08-23,human_review,approved,False,
290,10741,10,2026-08-16,human_review,approved,False,
291,10995,1,2026-08-29,human_review,deferred,False,
292,11084,6,2026-08-12,human_review,approved,False,
293,11042,8,2026-08-23,human_review,deferred,False,
294,11403,8,2026-09-06,human_review,deferred,False,
295,11665,8,2026-09-29,human_review,deferred,False,
296,11721,1,2026-09-08,human_review,deferred,False,
297,11346,3,2026-09-15,human_review,approved,False,
298,11405,9,2026-09-07,human_review,approved,True,
299,11733,2,2026-10-01,human_review,deferred,False,
300,11384,1,2026-09-04,human_review,deferred,False,
301,11581,5,2026-09-30,human_review,approved,False,
302,11744,4,2026-09-23,human_review,approved,False,
303,11466,10,2026-09-06,human_review,deferred,False,
