application_id,household_id,cycle_id,caseworker_id,submitted_at,amount_requested,need_category,stated_need_amount,days_since_hardship_onset,prior_applications_count,days_since_last_application,referral_source,application_channel,application_completeness,documentation_provided,status
59,303340c4-d11f-4dbe-90b6-1436af06ee29,1,5,2024-10-04T09:00:00,79558.86,education,82441.26,9,0,,ngo_partner,phone,0.707,False,auto_approved
18,67df2d4f-808b-4c16-b640-fa09c27d9404,1,3,2024-10-28T09:00:00,89109.03,food,78224.85,0,0,,self,in_person,0.753,True,auto_approved
39,202dcd02-de5c-4d98-a342-58f9f6a25df2,1,4,2024-10-31T09:00:00,112686.51,education,126557.09,42,0,,community_leader,in_person,0.739,True,auto_approved
74,f7fe0bfb-9cd3-4a5c-a6db-8d29b72a6d4e,1,9,2024-10-28T09:00:00,96219.32,food,108247.05,23,0,,prior_beneficiary,phone,0.627,False,auto_approved
122,9ed9c0cc-2b26-42ad-a716-ff6f2c0907dc,1,10,2024-10-02T09:00:00,103540.62,rent_arrears,110646.45,6,0,,ngo_partner,online,0.871,True,auto_approved
15,52f641dd-b9eb-42b2-bc34-e5cbd8d4eef0,1,5,2024-10-02T09:00:00,127314.3,education,110867.29,6,0,,caseworker_outreach,in_person,0.513,False,auto_approved
2,8c327e35-801d-465e-9820-c8ce3c00bc68,1,8,2024-10-27T09:00:00,68561.89,other,76751.57,1,0,,self,phone,0.671,True,auto_approved
95,fbc74b11-6dbf-4d04-8941-e4d88467097a,1,6,2024-10-08T09:00:00,49200.28,other,45256.49,77,0,,self,in_person,0.51,True,auto_approved
81,ca2a6efc-ca75-4817-8e10-297d2ed6d4fd,1,3,2024-10-06T09:00:00,50436.97,rent_arrears,53186.87,14,0,,self,phone,0.54,True,auto_approved
66,8ef3b7cd-4be8-480b-a095-8a4419d2af98,1,1,2024-10-22T09:00:00,61678.91,medical,65455.72,7,0,,prior_beneficiary,online,0.726,True,auto_approved
110,471f90fe-587b-4da6-818c-ff48d4ace616,1,8,2024-10-18T09:00:00,55243.2,food,54740.21,12,0,,caseworker_outreach,phone,0.481,True,auto_approved
37,fcbc4a8c-9426-41f3-98f5-331793cf2d18,1,5,2024-10-30T09:00:00,90126.02,education,78478.74,14,0,,ngo_partner,phone,0.634,False,withdrawn
22,ccfccd4e-8e40-426f-aa26-5456c3756a1b,1,8,2024-10-29T09:00:00,50607.08,food,55422.04,6,0,,community_leader,caseworker_submitted,0.642,True,auto_approved
114,d1c2a03f-68e7-4c6a-af35-2d08ff2db1da,1,8,2024-10-16T09:00:00,43347.75,medical,47861.31,7,0,,ngo_partner,phone,0.644,True,awarded
50,d40081f0-5ded-4d4d-bd03-a123e5df0e77,1,9,2024-10-04T09:00:00,24995.68,education,25847.5,40,0,,ngo_partner,phone,0.57,True,awarded
23,f028d01f-c105-40b2-b665-d97d9f5773ab,1,9,2024-10-19T09:00:00,66341.28,childcare,56844.27,11,0,,community_leader,in_person,0.517,True,awarded
19,1d69987e-d9f7-4e67-af3b-406817c1c2d8,1,2,2024-10-26T09:00:00,94179.72,education,105364.21,6,0,,self,caseworker_submitted,1.0,True,awarded
3,2df2b118-4eac-4897-b359-369b3e1e04d8,1,3,2024-10-26T09:00:00,36591.94,rent_arrears,35029.85,13,0,,self,online,0.666,True,awarded
89,668e14bc-e14d-4585-89b6-5e3da438252a,1,2,2024-10-27T09:00:00,103594.01,utilities,111791.19,6,0,,ngo_partner,in_person,0.785,True,deferred
88,ffe0c77a-df90-4331-8356-1c17b1c9d80f,1,4,2024-10-29T09:00:00,45046.52,food,48115.4,26,0,,ngo_partner,phone,0.806,True,deferred
90,216b9343-cdb6-4bbc-8bdd-7ffdacc42675,1,4,2024-10-24T09:00:00,60715.35,medical,53795.27,34,0,,self,phone,0.558,True,deferred
9,66fbf659-41e6-4862-af8c-5fbef1075e5a,1,9,2024-10-26T09:00:00,67708.11,rent_arrears,64117.3,38,0,,self,in_person,0.624,False,awarded
70,5804d2a4-d21d-4470-b62a-9877cdc22c6c,1,5,2024-10-18T09:00:00,59661.62,utilities,52715.8,16,0,,community_leader,phone,0.738,True,awarded
118,c1de7a9d-e698-44ad-a49d-42906fce558d,1,2,2024-10-18T09:00:00,50397.44,medical,48662.23,2,0,,caseworker_outreach,in_person,0.695,True,awarded
111,0dc105f3-5f12-4cab-a0bf-d0b5f1afb684,1,3,2024-10-19T09:00:00,33926.0,utilities,36876.46,4,0,,self,online,0.864,True,awarded
16,05af7a87-0173-42f4-980b-c63c0bd2fe2d,1,3,2024-10-03T09:00:00,36550.46,food,31311.42,8,0,,self,phone,0.586,False,deferred
84,45e95c7c-5c35-4566-ab9c-e3df364723c7,1,5,2024-10-26T09:00:00,49222.24,food,56252.15,4,0,,ngo_partner,online,0.567,True,closed
121,2257cd5b-70aa-48f0-badf-87d8a90f0629,1,9,2024-10-28T09:00:00,26266.03,utilities,28318.47,27,0,,ngo_partner,online,0.583,True,closed
38,aad18c26-a6a7-4c2a-be36-93c2187ff766,1,2,2024-10-15T09:00:00,42299.59,childcare,44993.57,22,0,,caseworker_outreach,online,0.816,False,deferred
46,4544cb17-4723-412c-b192-743c692fe724,1,8,2024-10-22T09:00:00,30084.41,education,33734.94,61,0,,self,phone,0.7,True,deferred
12,6e3bb3cd-edaf-499a-b750-3f1fca989b01,1,7,2024-10-23T09:00:00,42465.12,medical,44499.57,8,0,,community_leader,caseworker_submitted,0.5,False,closed
120,9d9a054a-d7c6-44cc-ab7d-d39372853fad,1,1,2024-10-26T09:00:00,36416.74,childcare,35821.29,1,0,,caseworker_outreach,caseworker_submitted,0.735,False,deferred
26,6925f127-0f2a-4573-a2ea-44802b4ae17e,1,3,2024-10-25T09:00:00,59334.69,childcare,67536.05,39,0,,self,phone,0.881,True,deferred
73,ab7d2c93-7568-4d3f-8205-c318fec5febb,1,10,2024-10-05T09:00:00,20589.26,medical,21755.97,20,0,,prior_beneficiary,phone,0.571,False,deferred
96,2ae09526-95be-47c9-9f52-dfa691b85aab,1,7,2024-10-27T09:00:00,41192.58,food,44059.52,12,0,,ngo_partner,in_person,0.667,True,closed
11,b34f20e2-2439-4b74-ab51-cdaa663deae6,1,4,2024-10-02T09:00:00,3000,food,2995.75,39,0,,caseworker_outreach,in_person,0.671,True,deferred
79,f6b395ec-09a6-4c04-a113-7d1f07ece6ac,1,8,2024-10-30T09:00:00,56125.74,medical,59873.83,39,0,,caseworker_outreach,online,0.958,True,closed
107,b4cc72f9-e85e-491c-b96e-fbfedbef0c85,1,4,2024-10-19T09:00:00,43000.38,childcare,47423.52,12,0,,self,caseworker_submitted,0.557,True,deferred
27,2a211a3e-1948-4758-aefd-09c9153f0801,1,1,2024-10-23T09:00:00,10270.21,food,9641.04,7,0,,self,caseworker_submitted,0.62,True,deferred
24,472fbdcc-9690-4653-827a-5705a4e5ff23,1,3,2024-10-18T09:00:00,28827.16,food,26782.96,2,0,,ngo_partner,online,0.724,True,closed
21,7724c604-7b77-4085-9e3e-c1156059e643,1,7,2024-10-09T09:00:00,55469.22,funeral,47886.68,4,0,,ngo_partner,online,0.772,True,closed
115,fdc5a368-ff70-4aa5-b7dd-5ceb31241647,1,5,2024-10-01T09:00:00,71048.54,rent_arrears,73926.31,35,0,,ngo_partner,in_person,0.843,True,deferred
68,021afa5d-8595-485a-814b-6980877c89c1,1,5,2024-10-14T09:00:00,30722.37,other,26675.09,39,0,,ngo_partner,in_person,0.67,True,closed
97,05634bc8-2625-40c1-8e0c-362effed3908,1,2,2024-10-19T09:00:00,34315.31,medical,32757.65,15,0,,community_leader,phone,0.701,True,deferred
113,3b667ee3-429b-437b-ae18-108a8b7225a7,1,3,2024-10-16T09:00:00,59924.38,education,51940.4,12,0,,ngo_partner,online,0.696,False,closed
13,ef4277d8-7f95-45cd-80fd-56cb3b18947f,1,10,2024-10-11T09:00:00,23767.11,food,21606.1,23,0,,ngo_partner,phone,0.565,True,deferred
35,75bb250d-a4d4-4903-8f8d-e981d0a6475e,1,9,2024-10-28T09:00:00,22729.56,education,19628.02,3,0,,ngo_partner,online,0.997,True,closed
30,6ca79224-e796-495c-a5e8-35b09167f47e,1,9,2024-10-17T09:00:00,36161.84,medical,40010.9,23,0,,ngo_partner,in_person,0.4,False,closed
91,6760a50f-9384-4902-99f2-8579b8430b72,1,8,2024-10-11T09:00:00,10758.77,medical,11986.83,56,0,,community_leader,phone,0.667,True,audit_approved
116,62e675fb-e7e2-4af5-8585-66c32daf6e4e,1,2,2024-10-22T09:00:00,27282.62,funeral,27003.53,1,0,,caseworker_outreach,online,0.714,False,deferred
62,b7a5d2f7-9ad8-4bc7-a748-5aed045f4ebb,1,3,2024-10-26T09:00:00,25949.21,medical,23114.88,8,0,,caseworker_outreach,in_person,0.74,True,deferred
77,403bfc79-9f78-46e7-9365-03f10e3abfd0,1,4,2024-10-26T09:00:00,15686.85,food,16699.77,1,0,,self,in_person,0.54,True,appealed
7,091ecf9d-6c0d-425a-a072-6ba32ccdb35a,1,1,2024-10-30T09:00:00,9057.48,education,8765.71,17,0,,community_leader,online,0.688,False,closed
40,072d05a7-d2af-42f7-8254-8a7eda9ecb44,1,1,2024-10-25T09:00:00,29423.84,other,31828.31,0,0,,ngo_partner,in_person,0.647,True,appealed
61,4b668966-a3cf-436d-a64e-8e6ca71a7ab2,1,1,2024-10-18T09:00:00,24227.93,education,24466.55,33,0,,self,in_person,0.511,False,closed
87,66da5b83-4c69-4add-8965-fc47d266e03d,1,3,2024-10-15T09:00:00,3008.87,food,2835.0,13,0,,caseworker_outreach,in_person,0.639,True,closed
6,e57c33c2-af5e-4612-bfd8-9f4c0daddb93,1,7,2024-10-26T09:00:00,48607.59,food,51563.88,10,0,,self,phone,0.662,True,closed
99,0e61120e-c2a3-4bc1-9cf0-30aed1189108,1,1,2024-10-20T09:00:00,16532.28,medical,17778.64,91,0,,self,online,0.914,False,deferred
72,733c0900-0239-484f-8ae1-4988fbffa269,1,3,2024-10-06T09:00:00,16446.12,education,16500.62,14,0,,self,in_person,0.652,True,closed
5,6b66373e-bc99-45d7-88f0-21d872f5df71,1,3,2024-10-09T09:00:00,12626.99,food,11377.89,2,0,,caseworker_outreach,caseworker_submitted,0.837,True,closed
109,9c0da7ac-4931-4ffc-988a-53a311ba478e,1,3,2024-10-15T09:00:00,30546.08,rent_arrears,32605.76,24,0,,self,phone,0.556,True,deferred
76,f8af7ac7-101d-4f6e-91de-23181eff9be8,1,3,2024-10-26T09:00:00,3000,food,3202.33,40,0,,caseworker_outreach,phone,0.716,True,closed
28,51a5717d-9242-4b17-936c-29d8579e7ace,1,1,2024-10-17T09:00:00,16902.97,education,14595.74,50,0,,caseworker_outreach,online,0.868,True,closed
80,815be7a0-f86d-4630-9c2c-cf018cc26790,1,3,2024-10-15T09:00:00,13896.61,medical,12059.52,2,0,,self,in_person,0.68,True,closed
49,e587343a-5b65-4f30-b8a0-ed0b63058928,1,3,2024-10-30T09:00:00,3000,food,3142.99,51,0,,ngo_partner,caseworker_submitted,0.781,False,closed
29,e355ada2-c795-4d4c-a72b-e21f23f8ff27,1,10,2024-10-04T09:00:00,3000,education,2826.45,27,0,,self,phone,0.545,True,closed
52,67ec5507-437e-4b34-b845-45a722677091,1,2,2024-10-23T09:00:00,3000,food,2868.72,16,0,,self,caseworker_submitted,0.684,False,closed
85,c3539ce4-f975-4050-8d51-7f54da08843b,1,7,2024-10-03T09:00:00,3000,medical,3253.85,11,0,,self,online,0.929,True,deferred
104,593778f3-2599-4f44-863e-2c55683b8dfd,1,7,2024-10-31T09:00:00,16924.88,medical,14773.83,22,0,,self,in_person,0.606,True,closed
25,173793f5-13a4-43fd-95be-4ad3939b2217,1,5,2024-10-11T09:00:00,19260.95,childcare,17799.77,16,0,,ngo_partner,online,0.876,True,closed
34,39b27347-cbf5-49a4-8399-911aa613d07f,1,6,2024-10-26T09:00:00,9258.14,education,9093.55,23,0,,caseworker_outreach,in_person,0.635,True,deferred
56,7379b5be-2df7-4e82-810b-4f52748d679a,1,4,2024-10-18T09:00:00,13091.23,utilities,12807.64,12,0,,self,caseworker_submitted,0.737,True,deferred
54,f3b1ae5e-b16d-43c8-9610-02867bcf7d4c,1,2,2024-10-12T09:00:00,3000,medical,2846.74,9,0,,prior_beneficiary,online,1.0,True,closed
53,abc4cd1a-8452-42a7-89e5-0a9a57a830f7,1,2,2024-10-26T09:00:00,15344.67,childcare,16323.13,21,0,,self,in_person,0.776,True,deferred
55,ef04fa0e-1e33-42e9-8b7a-7724854eaba2,1,8,2024-10-26T09:00:00,16402.44,other,14466.5,37,0,,ngo_partner,phone,0.603,False,deferred
102,8921510d-7ffe-4fb0-9c0d-f2a53b980d60,1,4,2024-10-28T09:00:00,8662.54,childcare,8034.15,2,0,,self,online,1.0,True,deferred
65,01970527-5d97-4f4e-8fdd-90a71b0c622a,1,4,2024-10-25T09:00:00,3076.13,medical,3309.93,7,0,,self,online,0.959,True,closed
8,7a3cb452-7bcd-40ee-b9dc-2a920620634c,1,8,2024-10-22T09:00:00,26226.85,other,29120.39,7,0,,self,in_person,0.604,True,closed
93,aad4a972-9198-42f0-b4c0-e431e2401d50,1,8,2024-10-19T09:00:00,3000,medical,2821.1,17,0,,prior_beneficiary,in_person,0.58,True,deferred
98,1ffe23cd-75ef-4293-9bc9-ee953b2b4923,1,1,2024-10-25T09:00:00,3000,rent_arrears,2888.26,19,0,,self,caseworker_submitted,0.532,False,closed
36,67cd1802-712c-4769-8dd2-cf5320c2b6c4,1,3,2024-10-06T09:00:00,5132.54,medical,5563.64,8,0,,prior_beneficiary,online,0.617,True,audit_approved
51,794cb27e-3fcf-4db0-a9b2-a72912c679a0,1,5,2024-10-19T09:00:00,3000,food,3081.48,11,0,,ngo_partner,online,1.0,True,closed
48,238e674c-f486-40a3-9319-1b3218c8cfc5,1,10,2024-10-21T09:00:00,3074.87,childcare,3320.41,37,0,,caseworker_outreach,online,1.0,True,audit_approved
67,5bb892ba-3dc8-406e-a35c-60e8beb2251c,1,4,2024-10-29T09:00:00,3000,rent_arrears,3185.76,11,0,,community_leader,in_person,0.422,True,closed
83,37a65109-322b-4d2c-a5e7-5d0547541fc8,1,6,2024-10-02T09:00:00,11232.9,education,12528.09,1,0,,self,online,0.773,True,deferred
14,87080ac5-6f8b-40f2-9c81-926992b0969d,1,8,2024-10-21T09:00:00,11949.06,education,11407.85,7,0,,ngo_partner,in_person,0.875,True,deferred
10,db64dd0a-3713-4c6c-8a1f-a0d2bf90cbaf,1,9,2024-10-24T09:00:00,3000,childcare,3179.16,19,0,,self,in_person,0.552,True,closed
4,29bc5e77-6a50-4060-9981-382f114ae78a,1,5,2024-10-05T09:00:00,3000,medical,2957.74,12,0,,ngo_partner,in_person,0.697,True,deferred
92,42102a58-a2d4-4214-8c6e-e29e7456b353,1,8,2024-10-10T09:00:00,11503.57,utilities,11458.02,42,0,,ngo_partner,phone,0.665,True,deferred
75,c908a372-b469-4ece-9ad7-df4e809d0209,1,7,2024-10-26T09:00:00,14394.8,funeral,13113.96,0,0,,ngo_partner,in_person,0.437,False,deferred
17,7c4c6b53-f8cf-40a4-9f2e-b9cd93f78d53,1,6,2024-10-29T09:00:00,9531.78,other,10495.88,70,0,,ngo_partner,phone,0.56,True,deferred
82,875ea572-9cff-4ec6-b5a5-bfc54366375c,1,8,2024-10-10T09:00:00,3000,utilities,3032.52,63,0,,prior_beneficiary,in_person,0.672,True,closed
103,82fd7f9e-f711-4ae6-a19b-371140b4f088,1,5,2024-10-09T09:00:00,3733.69,food,3489.28,19,0,,ngo_partner,in_person,0.344,False,closed
119,0f18dd0f-972a-49cf-aee5-0677c2a4cdfc,1,1,2024-10-15T09:00:00,3000,other,2559.71,18,0,,prior_beneficiary,online,0.771,True,closed
112,d97afb3b-c34d-4fc6-9aa8-7c39714161e0,1,10,2024-10-26T09:00:00,6335.63,utilities,7005.06,20,0,,self,phone,0.596,False,deferred
45,de542420-c82b-4348-94ea-a1901c801553,1,8,2024-10-08T09:00:00,3905.89,education,4344.82,18,0,,ngo_partner,online,0.912,False,deferred
105,73d330a8-3bcb-4a05-9919-7f0fe58d45ef,1,5,2024-10-26T09:00:00,3000,medical,2695.26,19,0,,prior_beneficiary,in_person,0.619,False,closed
44,9f8f8812-b818-4ac9-bfea-bd765d933f29,1,7,2024-10-02T09:00:00,15960.87,education,17491.44,6,0,,caseworker_outreach,phone,0.682,True,deferred
117,87afba89-4ebb-4a5d-b4cd-53364578854c,1,8,2024-10-02T09:00:00,3000,education,2658.5,2,0,,community_leader,phone,1.0,True,closed
78,d4d92e02-37c7-48e7-aa10-bbb5180121c5,1,6,2024-10-06T09:00:00,3000,other,3361.94,28,0,,self,phone,0.464,True,closed
101,b38ebbb1-9962-4b08-a468-61880a3b78ae,1,3,2024-10-11T09:00:00,10426.74,childcare,9674.94,57,0,,self,in_person,0.375,False,deferred
43,021cac40-c4b3-4922-b11e-1acefb9fe29d,1,7,2024-10-17T09:00:00,3000,education,2686.11,11,0,,caseworker_outreach,phone,0.544,False,closed
60,bfcc942d-88a1-4e90-bb5e-3b19e15b6a37,1,6,2024-10-25T09:00:00,3000,utilities,2720.95,2,0,,caseworker_outreach,in_person,0.585,False,deferred
94,09a84e11-d88f-47ee-a91c-a0d43fa05d3a,1,8,2024-10-05T09:00:00,6838.23,education,6347.17,5,0,,self,in_person,0.63,False,deferred
123,fb2ff6ac-67ad-46a2-88ef-35c3641a16da,1,2,2024-10-23T09:00:00,3000,rent_arrears,3061.89,9,0,,self,in_person,0.392,False,closed
214,f6f83a08-1ff7-47ec-a8e5-24a95876ec01,2,5,2024-11-01T09:00:00,244801.73,utilities,234064.93,8,0,,self,in_person,0.899,True,auto_approved
224,f2e49399-29f0-4597-b9ed-e994a722a92e,2,3,2024-11-24T09:00:00,200377.01,education,221391.02,3,0,,prior_beneficiary,phone,0.797,True,auto_approved
228,0580a5dd-9370-4029-a936-1958e69e8189,2,6,2024-11-07T09:00:00,81995.71,food,87516.35,20,0,,caseworker_outreach,online,0.792,True,auto_approved
205,c7ee6de4-f759-4e2b-9832-436edf0f1d9b,2,8,2024-11-24T09:00:00,212350.9,rent_arrears,213238.75,23,0,,self,in_person,0.53,True,auto_approved
232,75fc85d9-c278-4d02-9fac-45ff566e3d33,2,6,2024-11-28T09:00:00,172062.17,medical,178167.05,54,0,,caseworker_outreach,in_person,0.643,True,auto_approved
141,bd9f0e41-dd36-4323-8b4f-f0d8dd8f33c5,2,1,2024-11-25T09:00:00,82114.5,childcare,76035.0,2,0,,self,phone,0.644,True,withdrawn
189,c4ea7bb0-a5df-4c36-9cbb-ea7b23af7479,2,10,2024-11-07T09:00:00,125279.64,medical,137972.37,4,0,,self,caseworker_submitted,0.481,True,auto_approved
139,dca62213-f769-4d97-b4ef-56b058ff1a99,2,6,2024-11-09T09:00:00,94094.56,medical,89783.11,27,0,,self,online,0.821,True,auto_approved
244,0684da5f-a37b-4e65-bd77-5740d61db134,2,3,2024-11-22T09:00:00,44733.1,medical,47503.27,11,0,,community_leader,in_person,0.415,True,auto_approved
220,1d02e4ac-4efb-449f-b7a9-62473717b667,2,4,2024-11-10T09:00:00,60964.58,food,52868.4,2,0,,ngo_partner,caseworker_submitted,0.474,False,auto_approved
249,34391ba6-26c0-4e25-8989-7f8c823ae00b,2,4,2024-11-27T09:00:00,53274.0,rent_arrears,48283.96,26,0,,self,caseworker_submitted,0.393,False,auto_approved
213,2019142e-ae7a-4948-9aab-dc1d127cf154,2,1,2024-11-24T09:00:00,57535.81,education,54321.82,16,0,,self,in_person,0.68,True,auto_approved
149,6908771d-fbe7-4f52-ad48-8b447cda1b51,2,1,2024-11-15T09:00:00,65107.95,medical,55961.88,25,0,,self,in_person,0.686,False,auto_approved
201,9d4d79a4-a233-4bb9-88dc-48c7a5d155fc,2,4,2024-11-08T09:00:00,74992.1,medical,64924.68,56,1,23,ngo_partner,in_person,0.988,True,auto_approved
177,be732638-8d0d-449d-b580-b2563988f074,2,9,2024-11-15T09:00:00,43220.92,food,44731.94,15,0,,self,phone,0.876,True,auto_approved
162,33f872c7-6303-49a4-a4bc-236b8b24d0d9,2,7,2024-11-21T09:00:00,62122.04,childcare,59539.61,20,0,,prior_beneficiary,phone,0.641,False,auto_approved
170,5702812f-709b-4049-8bd5-68cd206fe49b,2,3,2024-11-20T09:00:00,82214.9,childcare,80460.95,9,0,,caseworker_outreach,phone,0.797,True,auto_approved
157,704edcee-6021-4351-97e8-84d8817a91e4,2,1,2024-11-14T09:00:00,94439.05,medical,81262.5,4,0,,ngo_partner,in_person,0.379,True,auto_approved
153,3dc3f894-e16d-4338-a98b-d706cd161edb,2,2,2024-11-27T09:00:00,119156.97,food,124696.82,21,0,,prior_beneficiary,in_person,0.713,True,auto_approved
144,7956bbfe-de14-401e-8bef-f3dfa191baa0,2,8,2024-11-21T09:00:00,69874.9,medical,64796.53,21,0,,community_leader,in_person,0.375,False,withdrawn
159,b08c1c56-5d39-4926-a434-4dadb98482c6,2,2,2024-11-12T09:00:00,37345.99,medical,39479.4,4,0,,caseworker_outreach,in_person,1.0,True,auto_approved
140,11868052-5c2c-48d9-9ee1-69b249651af9,2,1,2024-11-12T09:00:00,68901.03,food,62723.34,9,0,,prior_beneficiary,online,0.852,True,auto_approved
235,db3aa887-807a-4554-9622-48df089c6a9a,2,9,2024-11-02T09:00:00,58321.11,food,58178.28,17,0,,ngo_partner,online,0.673,True,withdrawn
171,f9ca2a14-3d31-4344-a508-9a92aadc5835,2,1,2024-11-03T09:00:00,62530.18,education,53206.07,13,0,,community_leader,in_person,0.684,True,auto_approved
231,8ca1bb09-8e9f-4e2a-a90a-ea99ffff6e08,2,9,2024-11-15T09:00:00,43793.61,medical,46672.96,15,0,,community_leader,in_person,0.456,False,auto_approved
206,805eabea-94e5-4ca6-8281-8518a2c5003e,2,8,2024-11-25T09:00:00,55315.19,childcare,62569.27,36,0,,ngo_partner,online,0.625,True,auto_approved
239,b15faa92-d4db-4bb9-959a-4e7be8743031,2,8,2024-11-28T09:00:00,48967.77,utilities,45470.4,5,0,,caseworker_outreach,online,0.715,True,withdrawn
161,18c2de3a-79ca-40d4-94d3-e5368c017817,2,10,2024-11-19T09:00:00,59236.52,food,63591.48,5,0,,ngo_partner,phone,0.955,True,auto_approved
158,9ef42c3b-7914-4731-933a-6cd44e45237b,2,3,2024-11-06T09:00:00,59022.96,education,52260.47,0,0,,caseworker_outreach,in_person,0.543,True,auto_approved
211,6d3232e1-644f-474a-b9cf-e9d3cb5519e0,2,6,2024-11-21T09:00:00,40265.5,food,35405.09,23,0,,self,online,0.641,False,auto_approved
227,17e9e111-b3be-4f63-bd46-efd080768337,2,5,2024-11-17T09:00:00,79202.04,medical,78562.47,34,0,,caseworker_outreach,in_person,0.784,True,auto_approved
216,91f767d0-f7ba-4df2-9621-4b4d993a3f8b,2,7,2024-11-08T09:00:00,61291.63,food,66907.52,12,0,,prior_beneficiary,caseworker_submitted,0.836,True,auto_approved
241,e97e8c30-387e-42ce-9c3f-6de8522316fe,2,10,2024-11-29T09:00:00,40490.38,food,36806.19,19,0,,caseworker_outreach,in_person,0.586,True,auto_approved
212,d033d8d4-bce4-4c03-bf0f-7f1caff1d964,2,6,2024-11-23T09:00:00,95180.44,education,103924.41,22,0,,community_leader,caseworker_submitted,0.491,True,auto_approved
196,a0711d5a-360d-43ec-9ac0-0c1a4b917d24,2,10,2024-11-15T09:00:00,13817.38,medical,14098.47,12,0,,self,caseworker_submitted,0.836,True,auto_approved
191,b117b5c8-495c-4516-86a8-a123d4acbe4d,2,6,2024-11-22T09:00:00,81494.89,other,77934.75,3,0,,community_leader,in_person,0.519,True,auto_approved
248,8349f56c-e71d-44f0-87fe-40de22e6778b,2,4,2024-11-18T09:00:00,24630.59,childcare,24394.94,3,0,,community_leader,in_person,0.423,True,auto_approved
199,601ef300-2749-40ee-b36c-b5894acffee5,2,3,2024-11-25T09:00:00,42336.88,other,43168.33,4,0,,caseworker_outreach,in_person,0.666,False,auto_approved
174,95ab6fc7-98e4-4abe-89dc-8e24ffed1b5b,2,3,2024-11-30T09:00:00,58061.68,food,57688.69,8,0,,self,in_person,0.583,True,auto_approved
207,a5b296cb-01f4-45f5-9073-0a48514813ef,2,2,2024-11-16T09:00:00,75148.75,food,72560.7,1,0,,ngo_partner,caseworker_submitted,0.758,True,auto_approved
203,aa173e0c-bb7e-4479-a5ce-ec95b2381a25,2,5,2024-11-06T09:00:00,27826.47,rent_arrears,23826.74,21,0,,caseworker_outreach,phone,0.585,False,auto_approved
