award_id,application_id,household_id,award_amount,award_date,need_category,outcome_followup_days
41,36,67cd1802-712c-4769-8dd2-cf5320c2b6c4,5132.54,2024-10-10,medical,
42,48,238e674c-f486-40a3-9319-1b3218c8cfc5,3074.87,2024-11-04,childcare,
43,214,f6f83a08-1ff7-47ec-a8e5-24a95876ec01,212333.74,2024-11-19,utilities,214
44,224,f2e49399-29f0-4597-b9ed-e994a722a92e,200377.01,2024-11-28,education,
45,228,0580a5dd-9370-4029-a936-1958e69e8189,81546.66,2024-11-26,food,
46,205,c7ee6de4-f759-4e2b-9832-436edf0f1d9b,198731.57,2024-11-28,rent_arrears,
47,232,75fc85d9-c278-4d02-9fac-45ff566e3d33,170050.66,2024-12-13,medical,
48,189,c4ea7bb0-a5df-4c36-9cbb-ea7b23af7479,125279.64,2024-11-10,medical,232
49,139,dca62213-f769-4d97-b4ef-56b058ff1a99,83286.0,2024-11-11,medical,
50,244,0684da5f-a37b-4e65-bd77-5740d61db134,44733.1,2024-12-03,medical,81
51,220,1d02e4ac-4efb-449f-b7a9-62473717b667,50884.65,2024-11-30,food,
52,249,34391ba6-26c0-4e25-8989-7f8c823ae00b,43894.24,2024-12-08,rent_arrears,
53,213,2019142e-ae7a-4948-9aab-dc1d127cf154,49510.6,2024-11-26,education,
54,149,6908771d-fbe7-4f52-ad48-8b447cda1b51,51451.24,2024-11-26,medical,77
55,201,9d4d79a4-a233-4bb9-88dc-48c7a5d155fc,62422.37,2024-11-15,medical,
56,177,be732638-8d0d-449d-b580-b2563988f074,40943.82,2024-11-27,food,
57,162,33f872c7-6303-49a4-a4bc-236b8b24d0d9,58314.01,2024-12-05,childcare,201
58,170,5702812f-709b-4049-8bd5-68cd206fe49b,76958.8,2024-12-02,childcare,
59,157,704edcee-6021-4351-97e8-84d8817a91e4,79852.09,2024-11-27,medical,
60,153,3dc3f894-e16d-4338-a98b-d706cd161edb,119156.97,2024-12-06,food,238
61,159,b08c1c56-5d39-4926-a434-4dadb98482c6,37345.99,2024-11-17,medical,
62,140,11868052-5c2c-48d9-9ee1-69b249651af9,60956.27,2024-12-01,food,
63,171,f9ca2a14-3d31-4344-a508-9a92aadc5835,51120.71,2024-11-13,education,
64,231,8ca1bb09-8e9f-4e2a-a90a-ea99ffff6e08,43793.61,2024-11-27,medical,
65,206,805eabea-94e5-4ca6-8281-8518a2c5003e,55315.19,2024-12-02,childcare,
66,161,18c2de3a-79ca-40d4-94d3-e5368c017817,57394.65,2024-12-09,food,85
67,158,9ef42c3b-7914-4731-933a-6cd44e45237b,50377.44,2024-11-18,education,
68,211,6d3232e1-644f-474a-b9cf-e9d3cb5519e0,33671.89,2024-12-01,food,
69,227,17e9e111-b3be-4f63-bd46-efd080768337,75748.28,2024-12-02,medical,
70,216,91f767d0-f7ba-4df2-9621-4b4d993a3f8b,61291.63,2024-11-17,food,210
71,241,e97e8c30-387e-42ce-9c3f-6de8522316fe,34985.25,2024-12-02,food,140
72,212,d033d8d4-bce4-4c03-bf0f-7f1caff1d964,95180.44,2024-12-04,education,
73,196,a0711d5a-360d-43ec-9ac0-0c1a4b917d24,13817.38,2024-11-25,medical,73
74,191,b117b5c8-495c-4516-86a8-a123d4acbe4d,76537.92,2024-12-02,other,195
75,248,8349f56c-e71d-44f0-87fe-40de22e6778b,22158.77,2024-11-30,childcare,139
76,199,601ef300-2749-40ee-b36c-b5894acffee5,42336.88,2024-12-08,other,132
77,174,95ab6fc7-98e4-4abe-89dc-8e24ffed1b5b,52224.68,2024-12-17,food,155
78,207,a5b296cb-01f4-45f5-9073-0a48514813ef,67310.85,2024-11-26,food,
79,203,aa173e0c-bb7e-4479-a5ce-ec95b2381a25,23048.75,2024-11-13,rent_arrears,
80,225,334f99e2-dc74-49f7-9158-e0944703d734,20550.98,2024-12-18,food,
81,223,b1cc56cb-7a5f-4928-b880-87f50ed7c565,39910.83,2024-11-08,medical,
82,184,d8fa5ff5-1dd9-418d-8eb9-7dd629101db3,27034.61,2024-12-09,utilities,80
83,180,a4de4fb1-237c-4faa-a943-dcd87ac8daf8,22287.77,2024-12-02,food,126
84,229,fdfff71a-7064-4b81-a4d7-f2a399025115,61733.94,2024-11-25,childcare,
85,247,26534011-60a9-4659-b223-7898cbcc3dd6,57719.27,2024-11-11,utilities,
86,143,b7acf56f-994b-4dca-8cfc-f880f5ddb07a,30620.34,2024-11-24,medical,
87,221,0504d03d-f578-42dc-a755-2752fdbecf42,17293.67,2024-11-11,food,
88,242,b7f65a73-6b59-41e1-9131-0d307cf90936,52672.62,2024-11-13,rent_arrears,62
89,217,99b7b06c-be58-4dbe-bfe4-cf4e8be34881,8428.14,2024-11-26,medical,95
90,187,62153a9e-67c8-425b-9ed8-0862cf02d255,14769.08,2024-11-21,food,178
91,243,3d5601d3-61f3-46e5-b520-c76a3f4ba33d,2977.93,2024-11-24,medical,
92,165,e225ac00-ac40-4504-88f5-8797b540154e,8545.42,2024-11-11,food,
93,234,62948d04-bb80-4b6e-9de3-d1cfa1f8bfa2,4699.19,2024-12-17,other,
94,323,a28460fc-1218-44a3-9f3e-02d160714809,106520.18,2024-12-31,education,60
95,309,6877e43b-c57f-40b6-ad95-5c3b72decf0f,133471.71,2024-12-10,food,
96,362,52526a47-6ad1-4f6d-88d0-4b4f6d6ce016,131971.08,2025-01-03,medical,141
97,289,dabd4f70-0fe9-4695-9e86-364481d2fc85,90714.68,2024-12-20,education,
98,310,5e026f46-bef9-44ed-b9ab-644d1345acbf,68335.6,2025-01-05,food,
99,374,f6a6b957-dfa6-4bb6-bebb-b9cdd1742740,58327.95,2025-01-07,medical,105
100,313,328802d3-4be3-4323-9fba-d2b1beaea32c,67070.47,2024-12-24,education,
101,358,a1738257-49e7-4d9d-8e69-b2173861c023,63140.95,2024-12-26,medical,
102,373,d77761cd-443d-4e73-bb9b-8fb52436b254,84393.29,2025-01-05,medical,
103,349,5d94fba8-9e03-42f8-b26b-2a388e940408,83459.53,2024-12-12,education,
104,333,d9ba4c41-97c6-419e-ab50-3d48626c03ae,124878.37,2024-12-28,medical,
105,295,780616de-0f37-4ce4-8a9d-8af1ca2b9c2d,69387.05,2025-01-08,food,
106,311,ba3c32be-6f67-4376-ab7b-cca6736d6c31,104457.64,2024-12-22,medical,
107,361,538970b1-c02d-4c56-a70b-0a05268e929a,82102.18,2024-12-10,food,
108,325,314903c3-356a-4a0e-ac01-7496992b05bd,79604.87,2024-12-19,food,
109,271,5572dc83-1e4e-4532-b626-afab1b1b2799,93242.38,2024-12-22,food,213
110,312,80c64ae6-42bb-425b-955c-a93dd248a59c,99470.72,2025-01-03,rent_arrears,118
111,324,a9feecf7-6231-42d0-914a-41af8a475d75,73376.26,2024-12-31,food,
112,344,c972ec01-12e3-44c8-a342-3cc05704410d,35738.11,2024-12-29,food,89
113,351,22f86062-1051-4312-b55f-b4be9148af9b,65306.9,2024-12-20,childcare,
114,328,ca2a6efc-ca75-4817-8e10-297d2ed6d4fd,45602.81,2025-01-16,rent_arrears,
115,287,eae0e23a-c146-489d-9eda-cb2676b06ff7,67732.88,2025-01-01,childcare,
116,257,2dbb513b-478a-4ef9-a4b2-0b8fa018c47a,35738.64,2024-12-12,food,
117,276,091b93fd-1126-4c95-8c2d-afa004318173,33542.26,2024-12-21,childcare,176
118,301,84944678-14b6-41be-9654-a073bb3b41d8,31153.95,2024-12-07,medical,76
119,253,75df5a46-82ee-4c82-9f2b-bc5bc9139c1a,76319.17,2024-12-29,funeral,
120,345,6bf0e06d-caa6-4255-985a-bda55fcd8708,45574.64,2025-01-09,food,
121,372,62e675fb-e7e2-4af5-8585-66c32daf6e4e,60952.44,2025-01-02,food,
122,288,de52e948-d9c5-4ec4-b056-8d633b24c3a2,33192.51,2024-12-28,rent_arrears,
123,258,1086cadf-5e01-4669-a8e8-e0039f0f2052,47634.0,2025-01-02,medical,
124,273,a2fd0ca8-a91c-429e-8116-3d172772d073,67044.61,2024-12-24,education,182
125,357,334e895f-0fd6-41b4-bf06-07e99dd262fa,84757.92,2024-12-15,rent_arrears,
126,290,8891bffe-594e-4cd7-9242-651740a8e987,52385.54,2025-01-08,childcare,124
127,353,5bd8ddde-7211-43a3-9a75-9e0c104b8561,62354.09,2024-12-27,medical,
128,294,7e2ca395-58aa-4f0d-884c-25562d440c20,53983.09,2025-01-04,food,
129,335,0c95a71e-fc1e-4e00-842b-be590cdbbe98,28692.11,2024-12-13,medical,
130,363,45c05575-d815-4d5a-ab2b-f68d018a8bd4,52868.96,2024-12-17,utilities,
131,284,d0667e1c-16fd-4e25-b0a3-af287e0d7c18,65887.59,2025-01-05,rent_arrears,
132,264,05af7a87-0173-42f4-980b-c63c0bd2fe2d,22473.21,2024-12-17,food,
133,359,7626ce9e-77ab-4352-8796-980dfa9709ae,23893.84,2024-12-14,medical,185
134,319,4b95ce47-9d48-462b-bc36-74c3698bd841,53465.94,2025-01-05,other,120
135,327,cf44ae8d-2faf-4d6e-a63a-da4ad7573c57,51532.79,2024-12-14,medical,
136,302,8a1e4ff8-26c4-4e40-bfe5-b0b5bc323099,68010.73,2024-12-21,education,204
137,303,76c9f927-8580-4724-99ed-2740296b1d58,20710.73,2024-12-28,food,
138,286,a4b81f0d-bfc2-4ca9-a305-715fc807f46f,46371.38,2025-01-18,rent_arrears,
139,322,295d8905-4ff8-46ce-90a3-27cac5228522,27364.58,2024-12-30,other,
140,550,947e7c9c-977d-46f4-b78a-8f2406a25b7c,155298.72,2025-01-17,childcare,
141,451,a9d58bf7-3c8c-4191-9472-96343bf8d489,109493.25,2025-01-27,food,
142,473,262d3ca0-4fc9-4fc8-be3c-a1eec93f3cc1,84165.2,2025-01-24,education,
143,440,38168768-8a98-4703-bd34-0608eceddb60,73914.98,2025-01-18,other,
144,442,485c1c85-0d78-4a42-8e4c-ebbed7c8d550,125333.28,2025-01-29,rent_arrears,205
145,377,8cd806b7-b5b8-4bd6-beb1-270a44a3699a,98568.78,2025-01-17,food,
146,522,72255447-8e2e-431f-a51d-b1932f38a1fa,128758.19,2025-01-21,medical,208
147,487,15e6df87-cc27-44c8-9d46-192f33ffe088,73732.76,2025-02-09,rent_arrears,225
148,517,7b1e558a-a35e-4a6c-959b-214866121505,107635.75,2025-02-03,education,153
149,510,5104ef24-916a-445b-9253-50d623bfeed5,74302.02,2025-01-28,food,
150,434,17bb4fbd-ff4e-49e5-bba4-05d3edc68a47,27634.18,2025-01-11,food,
151,547,12a34cd2-873e-4e4f-a586-b5dadbfc823c,63487.32,2025-02-05,food,
152,480,48d5c551-1245-4c3c-80a8-48e501093f52,81473.94,2025-01-31,food,141
153,444,df46d202-f503-4a53-a7be-6107e4cc7538,61256.46,2025-01-29,medical,231
154,394,f68e1243-ea53-4e6c-8222-ed0e1b6c5a9e,81732.95,2025-02-11,childcare,101
155,500,4564e630-4772-4567-ac07-b12ce962382b,30380.42,2025-02-05,food,
156,421,cda81f67-2dfb-4303-a0e5-fbe12e5a6423,72525.76,2025-01-10,education,
157,380,628f536f-6ada-4acd-ae14-bc62dfaa5c8b,53218.88,2025-02-16,medical,
158,460,01ff0e8b-c9ec-44a3-8725-42387d07d2d1,43245.08,2025-02-06,education,
159,404,2dee32f1-1cc7-4cd1-ab55-44a049c9041f,36239.85,2025-01-06,childcare,121
160,526,0e11c3a6-9247-4b15-8c41-1f0e0c2af392,66944.96,2025-01-18,education,
161,498,8b5ca3a6-c1c2-4a0f-8548-5ea86f85df31,58386.03,2025-02-06,education,115
162,516,d32feeb8-41e3-4042-b9bf-adaf4b4e2120,49168.19,2025-02-15,education,
163,531,3646d6bc-f290-4826-a9df-777380e0508d,48826.96,2025-01-13,childcare,
164,474,9833e176-1c0d-44c4-b010-42986d33e969,98294.76,2025-01-19,utilities,213
165,455,bcf3b7a9-e210-4c26-a059-620026bc65d1,64038.37,2025-02-18,childcare,199
166,401,dba89078-ef79-4b40-a9db-615f066bc1a0,13711.83,2025-02-06,medical,
167,540,720a7794-ae3a-496f-8995-655f8dc3249b,47826.3,2025-02-07,food,118
168,508,b50b0832-a3b5-4047-afcf-d30f71597bbb,66604.2,2025-01-10,food,177
169,466,d98ff0b3-35a9-4953-be2f-55424ef5756d,37170.49,2025-01-12,food,
170,411,ba4c26ba-49ca-4d21-9322-bbdb13ca4c88,51776.1,2025-02-14,medical,
171,412,100ae852-e9ef-4aa9-973e-d6fffb2d8bb7,47947.55,2025-02-04,food,192
172,389,66fbf659-41e6-4862-af8c-5fbef1075e5a,33653.04,2025-01-25,food,235
173,537,71ab46c5-225b-463c-b93e-d2660f39db43,79056.28,2025-01-15,funeral,
174,465,3dfc0fd3-7f4f-4807-abdb-d30e454f1d17,66363.75,2025-01-06,medical,
175,425,4974e505-3823-420a-b01e-7c789c94029b,29814.92,2025-01-27,childcare,
176,525,f18550dd-2206-40ff-8a3d-9d8120ce1c95,103698.36,2025-01-16,rent_arrears,169
177,429,43f0d76d-24a5-417e-af4f-66e1e4dfeac9,71963.63,2025-02-01,food,
178,381,0dc18a98-f320-49cd-a3e7-b324110045ec,47765.9,2025-02-04,childcare,
179,470,4c99a37a-822c-42a1-864e-0286dd63bbab,39691.18,2025-02-01,other,233
180,384,ed30543c-9d31-4e7f-8e15-22a24fe33430,31995.98,2025-02-19,medical,139
181,494,ffe0c77a-df90-4331-8356-1c17b1c9d80f,34777.15,2025-01-11,medical,235
182,410,6925f127-0f2a-4573-a2ea-44802b4ae17e,41718.63,2025-01-27,education,
183,422,dcc50675-23fa-4d58-a25b-c1ccbf1e503d,24323.11,2025-02-02,food,146
184,507,61fee8bd-4ea7-4e03-8ee5-5055948bcfaf,48147.3,2025-02-05,childcare,106
185,438,c3931116-b6dc-47d9-966e-3ad9dd1d32dd,58972.84,2025-02-10,education,114
186,549,08b19a0b-d56d-498d-82bc-a80e0e1a217d,32891.27,2025-02-16,food,
187,378,8c327e35-801d-465e-9820-c8ce3c00bc68,57288.94,2025-01-31,other,207
188,464,c89e630a-89fe-418f-b10f-5f07d707aadf,27048.04,2025-02-06,utilities,
189,538,7f20f1de-5415-4221-bda3-6c092a162d0a,36031.72,2025-02-17,medical,210
190,431,d543b27a-5e40-4608-8ed3-b71f2c3416a4,10858.75,2025-01-31,food,
191,535,3cca0a20-6db0-49bc-9a11-97e7d8886d9f,15986.4,2025-01-24,food,
192,453,ef94d59e-0bba-4a9d-a23e-fefaa3255d4d,27658.69,2025-01-29,utilities,
193,400,19870b97-dde6-49d4-b91c-c02ee8efc610,35375.86,2025-01-21,education,191
194,403,ef487231-57da-4ff3-aa37-648d9a4d6b39,47424.08,2025-01-19,food,
195,395,943b2a60-c8b3-40de-8742-2f5fe695d8c8,39076.57,2025-01-04,utilities,
196,420,077a6669-68ff-4bb4-afbe-ce061348dd3e,51137.14,2025-02-20,food,116
197,452,dc327450-dfad-48cc-9327-75b83425bb0a,20442.32,2025-01-03,medical,
198,533,c6beeab6-27a4-404a-bc7b-edc1e0685498,28123.44,2025-01-28,funeral,156
199,445,e003e900-8ebd-4819-beed-9fa51fdefb03,6649.43,2025-02-18,funeral,
200,488,c8d54fc4-2317-40eb-b084-025b2500af34,2900.46,2025-02-12,food,
201,541,d5c11000-7f56-418f-9ddf-4a5ab9426327,11348.12,2025-01-26,childcare,
202,437,09f1b9b2-7b57-47e2-96ba-9485b7454cf7,2781.59,2025-02-04,rent_arrears,
203,561,d7c54c17-617f-44c6-ab73-e7c6579a248d,96878.68,2025-02-24,medical,200
204,592,c4568f22-f0e5-40cb-bc1f-26d5f25e7c1b,84618.66,2025-02-17,medical,189
205,707,52526a47-6ad1-4f6d-88d0-4b4f6d6ce016,118994.77,2025-03-03,medical,
206,687,70904637-8864-4dc1-a6f2-5188161dcd7a,118787.75,2025-02-16,utilities,
207,573,39105f98-bf9f-4fbf-911a-3130027f69d1,65621.47,2025-02-28,medical,62
208,656,06098582-1700-47c8-a8a2-6bfe7d908136,62541.95,2025-02-16,other,180
209,661,8d664945-6d6b-4e51-bd70-b446a7686212,121987.52,2025-02-08,medical,208
210,678,f1c794ab-975f-49fa-aaa5-267711817af8,77052.06,2025-02-17,utilities,211
211,600,b1fcec36-07c0-4550-8204-aefc6f11660b,54388.59,2025-02-20,other,
212,706,538970b1-c02d-4c56-a70b-0a05268e929a,120294.63,2025-02-06,food,128
213,585,a8bad0a6-9230-4ea4-821b-1d919f709028,69154.73,2025-03-13,education,
214,641,ba3c32be-6f67-4376-ab7b-cca6736d6c31,118289.31,2025-02-24,medical,
215,590,61c38976-8097-4fc7-a9ff-dad0f1d248bc,47920.44,2025-03-08,medical,
216,697,9b952ea8-6315-4be7-a528-87927f371325,63868.81,2025-02-26,medical,
217,704,f90b2938-3668-4689-9cfc-a60fd0cdbd5e,103087.88,2025-02-05,medical,
218,552,26c7a631-84bf-4845-ac6d-d76aadc9d6ef,49077.78,2025-02-13,other,
219,657,a5b296cb-01f4-45f5-9073-0a48514813ef,63384.53,2025-03-08,food,
220,660,2884d25b-2b7c-44d1-8e5b-49a1767c78b6,28493.98,2025-02-17,medical,
221,679,d5dbffb2-d8b0-41fa-946b-daf226fa9ba8,72540.2,2025-02-20,food,
222,632,661468f1-b156-4b61-8e97-9d4f94ce0c89,67608.15,2025-02-11,medical,
223,699,35741bff-82a4-4934-b1f3-ef1ff69056b9,72501.45,2025-03-05,medical,
224,651,9ac01d3f-e4f0-4510-9279-98a5e3eb7894,64274.17,2025-03-07,childcare,
225,614,5e4251eb-b2f2-4184-b28d-bb9694a52d17,139026.25,2025-02-24,utilities,199
226,658,08e68b59-1bf8-4695-82f2-58495a8b6491,39129.57,2025-03-02,food,
227,597,a029a3d3-16c8-4d4a-8154-e9f80477caa6,55958.02,2025-02-15,utilities,
228,558,f4551abd-754e-4964-8d0a-2201107ac522,75517.4,2025-02-27,rent_arrears,
229,586,5572dc83-1e4e-4532-b626-afab1b1b2799,109529.74,2025-02-16,medical,157
230,688,d02d59ca-b9ac-47c3-956a-2a0311e09d5d,36384.76,2025-02-20,food,198
231,646,0642ba6c-efb5-47c7-bb1a-e729e3e55b37,75736.42,2025-02-19,education,149
232,617,53e41f5a-b15d-4b1b-b87c-ac26568b4ad9,51194.28,2025-02-08,medical,
233,684,53b54c8e-f80f-41ff-9646-d4fb00fdf3da,82061.13,2025-02-27,food,232
234,648,fa10772b-607a-4f23-8526-ef3910b33ece,52012.26,2025-03-09,rent_arrears,
235,610,0883df0c-e16f-4d70-a883-3f58f527a240,57760.77,2025-03-09,food,
236,692,7e14d4ae-7b28-4ae3-80bb-c2c3dcc7a7d9,117102.54,2025-03-07,childcare,76
237,570,3e3474a3-7b10-457f-aa9d-41234fa3bf1c,52606.88,2025-02-13,childcare,
238,686,8b5ca3a6-c1c2-4a0f-8548-5ea86f85df31,36635.39,2025-02-14,food,
239,602,dce2cfca-0e31-4a42-8874-cc7315eba41d,36689.26,2025-02-21,rent_arrears,
240,571,9eb46d0e-1707-4e76-beaf-4fa679770fdf,50811.6,2025-02-07,education,
241,659,07d58db5-ce9c-4625-be24-03bd038ccd41,70840.69,2025-02-09,food,
242,667,d97345d3-4769-4c71-ab88-aeca02c20071,63843.28,2025-02-05,utilities,
243,675,a2ea844f-057d-46d6-9195-adb9146ab027,43260.0,2025-02-21,medical,
244,556,4d1680d0-6818-4789-a981-178c592b1f34,2816.01,2025-02-24,rent_arrears,107
245,714,b20555fc-2dd0-49ff-adfa-f2ac7e6216d9,32593.76,2025-02-24,education,
246,771,e39573a0-986d-4713-962b-483beba87b7c,172715.29,2025-03-27,rent_arrears,
247,886,947e7c9c-977d-46f4-b78a-8f2406a25b7c,98180.75,2025-03-28,food,
248,778,ae4f8887-c7df-441d-9fa5-a3e3c6ace9ea,144348.74,2025-03-13,funeral,219
249,733,72d9ca14-f788-429f-a7df-87a555933ac0,90971.78,2025-04-12,rent_arrears,149
250,799,e729edb1-0728-48a2-8974-bb59919276b8,107587.99,2025-04-12,rent_arrears,
251,872,69c0c5a5-4663-49f9-9827-0d1a2bf05c7b,106507.21,2025-03-16,childcare,
252,824,0dc00888-4207-4034-ae3b-bb7ffe403249,94079.27,2025-03-28,medical,
253,817,bcc87980-f137-4962-8912-ed2202a1ed0a,146187.43,2025-04-01,childcare,
254,785,e398e47b-63df-4e5e-a40a-698306567cc6,97722.37,2025-03-29,medical,
255,811,893f1a36-61ad-4380-ab0f-6f5b82af4fc4,44205.59,2025-03-18,food,
256,743,d9c36553-42e0-49a9-bf86-0579f653ec13,62248.33,2025-04-07,food,
257,794,37baee31-2084-4723-ab0e-0f0abc9b2ac0,37058.34,2025-04-02,food,153
258,740,013822d1-4c8c-456b-8c47-f341801e2525,88259.26,2025-04-20,childcare,
259,770,b8ca8dba-ce50-4d58-9dbf-127871b751af,70351.08,2025-03-31,medical,
260,837,acf7b0b6-70b5-4018-867f-ff800df4cc69,97393.42,2025-04-08,medical,
261,861,0f712b8a-88b5-483b-b704-2a76cc7a5c48,53560.88,2025-03-16,food,116
262,777,5702812f-709b-4049-8bd5-68cd206fe49b,55081.45,2025-03-15,food,
263,851,c16355f9-1a53-418b-9c3d-114b978f9cec,70069.72,2025-04-03,medical,
264,847,af064c9e-10f5-41d9-afc9-ef44ff5d5da8,28147.07,2025-03-26,medical,
265,818,e165a7b8-f88f-49fe-9f90-a4cab723dc51,40712.95,2025-03-07,medical,206
266,815,f75a68b1-3eb8-460c-af4d-7ecb0e32731d,78950.3,2025-03-17,medical,
267,843,ca2a6efc-ca75-4817-8e10-297d2ed6d4fd,31744.81,2025-04-02,education,
268,879,66a28318-2293-4694-b27f-c0060af88749,79275.46,2025-03-15,funeral,
269,871,6d8868e3-07f5-4c76-b069-e8122348bd81,59648.02,2025-03-23,medical,
270,784,f9ca2a14-3d31-4344-a508-9a92aadc5835,58470.72,2025-03-20,funeral,
271,830,d4760e8a-2287-4e57-a59f-5e5942aeee7b,64779.94,2025-03-26,other,
272,761,cbd80ae5-6732-4dea-85a9-9eeffc9b92ad,110993.01,2025-04-12,medical,142
273,738,a023a53a-cdcf-4db5-83a7-d41b578a5c45,16582.28,2025-04-06,medical,
274,838,b1891f92-62f4-4832-8e70-e52a9049a6c2,66161.94,2025-03-08,education,
275,734,34ef1097-e80f-47d2-a25d-71cc08a36c4c,48807.5,2025-03-27,utilities,119
276,732,6922a7a3-5b38-409d-b1ad-0b11d4559062,53389.57,2025-03-30,rent_arrears,
277,822,04f84c9a-abbf-429f-8f36-20049f146fb8,48353.64,2025-04-03,rent_arrears,141
278,828,43eacdfb-30c3-4e43-8a9a-38d2fab6a4a6,77101.81,2025-04-06,education,
279,806,92404703-348a-4f33-a902-f001632dc0a6,64554.27,2025-04-13,medical,
280,810,d9c700c7-18cf-4d5e-af5e-15e2d55fd404,71834.12,2025-04-07,food,239
281,781,4544cb17-4723-412c-b192-743c692fe724,58317.19,2025-03-18,food,194
282,845,ba9db36f-2728-4de1-853b-1c5406578190,28662.11,2025-04-04,food,
283,782,16eea6c0-7459-4a64-a893-46ab973010ac,35927.5,2025-03-13,food,
284,880,41107519-b0f5-4b0b-afac-ef2c466162d0,41481.7,2025-03-21,other,
285,730,9e9d9445-0493-4365-8bb0-789993f79c65,34919.11,2025-03-31,education,214
286,747,47688135-14c5-4240-92c1-6263349d057e,25273.64,2025-03-27,medical,
287,792,211556d7-269e-4bd5-87a2-eb12750498a6,18511.29,2025-03-11,utilities,117
288,884,5e4e9f26-4140-4e8e-9a5b-c4e8e7be22c7,74156.02,2025-03-26,utilities,110
289,870,777b156f-337c-4b3f-b28b-c6da7f0cfb4e,43867.41,2025-03-21,rent_arrears,231
290,801,d8fa5ff5-1dd9-418d-8eb9-7dd629101db3,17194.28,2025-03-07,funeral,89
291,875,58e55b23-d683-4f4f-8825-523790dd3351,22930.83,2025-03-22,food,
292,754,7100725a-ccbe-47d1-b15e-dc0b8a332cd4,23815.81,2025-03-25,medical,
